variant,dtype,N,bwd,fwd,B,H,D,ref_source,latency_ms,latency_p20,latency_p80,tflops,peak_mib,max_abs_err,status
naive_pt,float32,1024,15,16,1,8,64,self,0.857088029384613,0.8540288209915161,0.8599551916122437,0.0782986830981457,118.140625,0.0,ok
naive_pt_compiled,float32,1024,15,16,1,8,64,naive_pt,0.3901439905166626,0.3858431875705719,0.39423999190330505,0.1720105028687706,52.125,4.76837158203125e-07,ok
strided_pt,float32,1024,15,16,1,8,64,naive_pt,0.6512640118598938,0.6492928266525269,0.652288019657135,0.10304402328074148,91.22705078125,9.5367431640625e-07,ok
strided_pt_compiled,float32,1024,15,16,1,8,64,naive_pt,0.09716799855232239,0.09625600278377533,0.09728000313043594,0.6906477955688638,23.1953125,1.3113021850585938e-06,ok
triton_tiled,float32,1024,15,16,1,8,64,naive_pt,0.030719999223947525,0.02985600009560585,0.030719999223947525,2.1845333885192884,20.125,0.0037026405334472656,ok
triton_strided,float32,1024,15,16,1,8,64,naive_pt,0.052319999784231186,0.05222399905323982,0.053247999399900436,1.2826617789900308,20.125,1.5497207641601562e-06,ok
flex,float32,1024,15,16,1,8,64,naive_pt,0.3164159953594208,0.31539198756217957,0.317440003156662,0.21209061799726728,20.19140625,1.0728836059570312e-06,ok
flex_tf32,float32,1024,15,16,1,8,64,naive_pt,0.04505600035190582,0.044198401272296906,0.04505600035190582,1.4894545338212952,20.19140625,0.0037026405334472656,ok
naive_pt,float16,1024,15,16,1,8,64,self,0.43110400438308716,0.43007999658584595,0.43212801218032837,0.15566745684961392,71.14453125,0.00189894437789917,ok
naive_pt_compiled,float16,1024,15,16,1,8,64,naive_pt,0.16793599724769592,0.16793599724769592,0.16896000504493713,0.3996097626467677,37.12890625,0.00189894437789917,ok
strided_pt,float16,1024,15,16,1,8,64,naive_pt,0.43929600715637207,0.43724799156188965,0.4403199851512909,0.15276456627595045,56.71533203125,0.002100706100463867,ok
strided_pt_compiled,float16,1024,15,16,1,8,64,naive_pt,0.11366400122642517,0.11366400122642517,0.11468800157308578,0.5904144080438917,22.6953125,0.0017800331115722656,ok
triton_tiled,float16,1024,15,16,1,8,64,naive_pt,0.01740800030529499,0.01740800030529499,0.01740800030529499,3.8550587559208336,21.12890625,0.0014033317565917969,ok
triton_strided,float16,1024,15,16,1,8,64,naive_pt,0.03379200026392937,0.033663999289274216,0.03379200026392937,1.9859393784283939,21.12890625,0.0014033317565917969,ok
flex,float16,1024,15,16,1,8,64,naive_pt,0.025599999353289604,0.02457600086927414,0.025599999353289604,2.621440066223146,21.19140625,0.0014033317565917969,ok
naive_pt,float32,1024,31,32,1,8,64,self,0.8611840009689331,0.8591359853744507,0.8652799725532532,0.1558525563050281,118.14453125,0.0,ok
naive_pt_compiled,float32,1024,31,32,1,8,64,naive_pt,0.38951998949050903,0.38604798913002014,0.39321601390838623,0.3445721185594515,52.12890625,2.980232238769531e-07,ok
strided_pt,float32,1024,31,32,1,8,64,naive_pt,1.2318719625473022,1.2288000583648682,1.2335103750228882,0.10895428427680137,158.32470703125,1.6689300537109375e-06,ok
strided_pt_compiled,float32,1024,31,32,1,8,64,naive_pt,0.1955839991569519,0.19046400487422943,0.20563840866088867,0.6862408406543175,24.20703125,1.3113021850585938e-06,ok
triton_tiled,float32,1024,31,32,1,8,64,naive_pt,0.030719999223947525,0.030719999223947525,0.03174399957060814,4.369066777038577,20.12890625,0.0048580169677734375,ok
triton_strided,float32,1024,31,32,1,8,64,naive_pt,0.08601599931716919,0.08499199897050858,0.0870399996638298,1.560380964767906,20.12890625,1.0728836059570312e-06,ok
flex,float32,1024,31,32,1,8,64,naive_pt,0.3184640109539032,0.317440003156662,0.3204736113548279,0.42145336170945746,20.1953125,6.556510925292969e-07,ok
flex_tf32,float32,1024,31,32,1,8,64,naive_pt,0.04505600035190582,0.04505600035190582,0.04505600035190582,2.9789090676425904,20.1953125,0.004857778549194336,ok
naive_pt,float16,1024,31,32,1,8,64,self,0.43007999658584595,0.42905598878860474,0.43110400438308716,0.3120761929535812,71.1484375,0.0019431114196777344,ok
naive_pt_compiled,float16,1024,31,32,1,8,64,naive_pt,0.16896000504493713,0.16793599724769592,0.16896000504493713,0.7943757338566783,37.1328125,0.0019431114196777344,ok
strided_pt,float16,1024,31,32,1,8,64,naive_pt,0.851967990398407,0.8458240032196045,0.8529919981956482,0.15753846331390406,92.15673828125,0.0019431114196777344,ok
strided_pt_compiled,float16,1024,31,32,1,8,64,naive_pt,0.21299199759960175,0.21299199759960175,0.2181120067834854,0.6301538532556162,24.0703125,0.0019431114196777344,ok
triton_tiled,float16,1024,31,32,1,8,64,naive_pt,0.01740800030529499,0.01740800030529499,0.01740800030529499,7.710117511841667,21.1328125,0.0010128021240234375,ok
triton_strided,float16,1024,31,32,1,8,64,naive_pt,0.055296000093221664,0.055296000093221664,0.05632000043988228,2.4272592551672245,21.1328125,0.0010128021240234375,ok
flex,float16,1024,31,32,1,8,64,naive_pt,0.025599999353289604,0.02473600022494793,0.025599999353289604,5.242880132446292,21.1953125,0.0010128021240234375,ok
naive_pt,float32,1024,63,64,1,8,64,self,0.8601599931716919,0.8584959506988525,0.8642560243606567,0.3120761929535812,118.1484375,0.0,ok
naive_pt_compiled,float32,1024,63,64,1,8,64,naive_pt,0.39164799451828003,0.38809600472450256,0.3954688012599945,0.6853997971575746,52.1328125,2.384185791015625e-07,ok
strided_pt,float32,1024,63,64,1,8,64,naive_pt,2.386944055557251,2.3365631103515625,2.3940353393554688,0.11245988584233141,292.5166015625,1.3113021850585938e-06,ok
strided_pt_compiled,float32,1024,63,64,1,8,64,naive_pt,0.2519040107727051,0.24473600089550018,0.26521599292755127,1.0656259706885387,26.2265625,1.1920928955078125e-06,ok
triton_tiled,float32,1024,63,64,1,8,64,naive_pt,0.03788800165057182,0.03686400130391121,0.03788800165057182,7.084972664319673,20.1328125,0.003195643424987793,ok
triton_strided,float32,1024,63,64,1,8,64,naive_pt,0.14950400590896606,0.14950400590896606,0.15052799880504608,1.7955067783498193,20.1328125,1.0728836059570312e-06,ok
flex,float32,1024,63,64,1,8,64,naive_pt,0.317440003156662,0.3164159953594208,0.3184640109539032,0.8456257980426071,20.19921875,1.1920928955078125e-06,ok
flex_tf32,float32,1024,63,64,1,8,64,naive_pt,0.04505600035190582,0.04505600035190582,0.04608000069856644,5.957818135285181,20.19921875,0.003196120262145996,ok
naive_pt,float16,1024,63,64,1,8,64,self,0.43110400438308716,0.43007999658584595,0.43212801218032837,0.6226698273984557,71.15234375,0.0022603273391723633,ok
naive_pt_compiled,float16,1024,63,64,1,8,64,naive_pt,0.16793599724769592,0.16784000396728516,0.16896000504493713,1.5984390505870707,37.13671875,0.0022603273391723633,ok
strided_pt,float16,1024,63,64,1,8,64,naive_pt,1.6957440376281738,1.6814080476760864,1.7121280431747437,0.15829951339558235,159.3017578125,0.001524209976196289,ok
strided_pt_compiled,float16,1024,63,64,1,8,64,naive_pt,0.19148799777030945,0.18534399569034576,0.2027519941329956,1.401839588515565,25.07421875,0.001385331153869629,ok
triton_tiled,float16,1024,63,64,1,8,64,naive_pt,0.01945599913597107,0.01945599913597107,0.020320000126957893,13.797053244297551,21.13671875,0.0008549690246582031,ok
triton_strided,float16,1024,63,64,1,8,64,naive_pt,0.10035199671983719,0.1001984030008316,0.10035199671983719,2.674938862944784,21.13671875,0.0008549690246582031,ok
flex,float16,1024,63,64,1,8,64,naive_pt,0.025599999353289604,0.025599999353289604,0.025599999353289604,10.485760264892583,21.19921875,0.0008549690246582031,ok
naive_pt,float32,1024,127,128,1,8,64,self,0.8632320165634155,0.8611840009689331,0.8673279881477356,0.6219311861686028,118.15234375,0.0,ok
naive_pt_compiled,float32,1024,127,128,1,8,64,naive_pt,0.39321601390838623,0.3901439905166626,0.39837437868118286,1.3653332850403275,52.13671875,2.384185791015625e-07,ok
