variant,dtype,precision,N,bwd,fwd,B,H,D,ref_source,latency_ms,peak_mib,max_abs_err,status,tflops
flex,float32,highest,1024,15,16,1,8,64,naive,0.31698426604270935,20.19140625,1.0728836059570312e-06,ok,0.21171039445521875
flex,float32,high,1024,15,16,1,8,64,naive,0.044915638864040375,20.19140625,0.0037026405334472656,ok,1.4941090830999533
flex,float16,n/a,1024,15,16,1,8,64,naive,0.025390934199094772,21.19140625,0.0014033317565917969,ok,2.6430246116108846
flex,float32,highest,1024,31,32,1,8,64,naive,0.3189230263233185,20.1953125,5.960464477539062e-07,ok,0.4208467778175805
flex,float32,high,1024,31,32,1,8,64,naive,0.04514181986451149,20.1953125,0.0032073259353637695,ok,2.973245837293238
flex,float16,n/a,1024,31,32,1,8,64,naive,0.02503395639359951,21.1953125,0.0008542537689208984,ok,5.361426931074935
flex,float32,highest,1024,63,64,1,8,64,naive,0.3187464773654938,20.19921875,6.258487701416016e-07,ok,0.8421597572424177
flex,float32,high,1024,63,64,1,8,64,naive,0.04493818059563637,20.19921875,0.0028513669967651367,ok,5.9734384534932845
flex,float16,n/a,1024,63,64,1,8,64,naive,0.025307022035121918,21.19921875,0.0007592439651489258,ok,10.6071530513332
flex,float32,highest,1024,127,128,1,8,64,naive,0.3474285900592804,20.203125,6.854534149169922e-07,ok,1.5452698118724075
flex,float32,high,1024,127,128,1,8,64,naive,0.044125091284513474,20.203125,0.0022357702255249023,ok,12.167020993527665
flex,float16,n/a,1024,127,128,1,8,64,naive,0.025351110845804214,21.203125,0.0006048083305358887,ok,21.177411722329158
flex,float32,highest,1024,255,256,1,8,64,naive,0.40069451928138733,20.20703125,5.066394805908203e-07,ok,2.6797017985812923
flex,float32,high,1024,255,256,1,8,64,naive,0.05977451056241989,20.20703125,0.0018059611320495605,ok,17.96320561886891
flex,float16,n/a,1024,255,256,1,8,64,naive,0.032169245183467865,21.20703125,0.0005471706390380859,ok,33.37789922878911
flex,float32,highest,2048,15,16,1,8,64,naive,0.6573668718338013,32.275390625,7.152557373046875e-07,ok,0.20417476716705246
flex,float32,high,2048,15,16,1,8,64,naive,0.08160780370235443,32.275390625,0.003381013870239258,ok,1.644667812523519
flex,float16,n/a,2048,15,16,1,8,64,naive,0.04260290041565895,34.275390625,0.0014460086822509766,ok,3.15043639495182
flex,float32,highest,2048,31,32,1,8,64,naive,0.657068133354187,32.28125,8.344650268554688e-07,ok,0.40853519197422733
flex,float32,high,2048,31,32,1,8,64,naive,0.08153599500656128,32.28125,0.0030003786087036133,ok,3.2922325407128317
flex,float16,n/a,2048,31,32,1,8,64,naive,0.04254690557718277,34.28125,0.0011456012725830078,ok,6.309165199171563
flex,float32,highest,2048,63,64,1,8,64,naive,0.6550750732421875,32.287109375,8.344650268554688e-07,ok,0.8195563133593907
flex,float32,high,2048,63,64,1,8,64,naive,0.08170926570892334,32.287109375,0.002938985824584961,ok,6.570502223242586
flex,float16,n/a,2048,63,64,1,8,64,naive,0.0427316315472126,34.287109375,0.0008544325828552246,ok,12.563782204450376
flex,float32,highest,2048,127,128,1,8,64,naive,0.7701794505119324,32.29296875,6.854534149169922e-07,ok,1.394144992165517
flex,float32,high,2048,127,128,1,8,64,naive,0.07988058775663376,32.29296875,0.0021703243255615234,ok,13.441836798588529
flex,float16,n/a,2048,127,128,1,8,64,naive,0.04228726774454117,34.29296875,0.0006296038627624512,ok,25.39161031841809
flex,float32,highest,2048,255,256,1,8,64,naive,0.9365477561950684,32.298828125,6.258487701416016e-07,ok,2.292978263836353
flex,float32,high,2048,255,256,1,8,64,naive,0.11053866893053055,32.298828125,0.0015263557434082031,ok,19.427442620551307
flex,float16,n/a,2048,255,256,1,8,64,naive,0.05467088147997856,34.298828125,0.0004807412624359131,ok,39.28020894973947
flex,float32,highest,4096,15,16,1,8,64,naive,1.3723962306976318,56.44140625,8.344650268554688e-07,ok,0.1955961769608955
flex,float32,high,4096,15,16,1,8,64,naive,0.14851544797420502,56.44140625,0.0035881996154785156,ok,1.8074581443313786
flex,float16,n/a,4096,15,16,1,8,64,naive,0.06864000111818314,60.44140625,0.0016427040100097656,ok,3.9107728966643314
flex,float32,highest,4096,31,32,1,8,64,naive,1.3747594356536865,56.458984375,9.5367431640625e-07,ok,0.3905198961189325
flex,float32,high,4096,31,32,1,8,64,naive,0.14939332008361816,56.458984375,0.0031958818435668945,ok,3.593674146203482
flex,float16,n/a,4096,31,32,1,8,64,naive,0.06903237849473953,60.458984375,0.001305222511291504,ok,7.777088428742334
flex,float32,highest,4096,63,64,1,8,64,naive,1.3718228340148926,56.4765625,1.430511474609375e-06,ok,0.7827117302439823
flex,float32,high,4096,63,64,1,8,64,naive,0.14905859529972076,56.4765625,0.0030508041381835938,ok,7.203488143980996
flex,float16,n/a,4096,63,64,1,8,64,naive,0.06914514303207397,60.4765625,0.0011521577835083008,ok,15.528810512430775
flex,float32,highest,4096,127,128,1,8,64,naive,1.4147467613220215,56.494140625,7.748603820800781e-07,ok,1.5179279477503569
flex,float32,high,4096,127,128,1,8,64,naive,0.14567609131336212,56.494140625,0.0023346543312072754,ok,14.74149689656742
flex,float16,n/a,4096,127,128,1,8,64,naive,0.07199542969465256,60.494140625,0.0007197856903076172,ok,29.828055157222067
flex,float32,highest,4096,255,256,1,8,64,naive,1.7369745969772339,56.51171875,8.940696716308594e-07,ok,2.4726713352482568
flex,float32,high,4096,255,256,1,8,64,naive,0.2072376310825348,56.51171875,0.0027664899826049805,ok,20.724842653164085
flex,float16,n/a,4096,255,256,1,8,64,naive,0.09461760520935059,60.51171875,0.0005589127540588379,ok,45.392897933708745
flex,float32,highest,8192,15,16,1,8,64,naive,2.755707263946533,104.826171875,9.5367431640625e-07,ok,0.19482145982049293
flex,float32,high,8192,15,16,1,8,64,naive,0.2688866853713989,104.826171875,0.0032405853271484375,ok,1.9966437209728278
flex,float16,n/a,8192,15,16,1,8,64,naive,0.11394625157117844,112.826171875,0.001947641372680664,ok,4.711615385299749
flex,float32,highest,8192,31,32,1,8,64,naive,2.754578113555908,104.890625,9.5367431640625e-07,ok,0.3898026411797404
flex,float32,high,8192,31,32,1,8,64,naive,0.2682611346244812,104.890625,0.0033761262893676758,ok,4.002599278881942
flex,float16,n/a,8192,31,32,1,8,64,naive,0.11342687159776688,112.890625,0.001170039176940918,ok,9.466379605422704
flex,float32,highest,8192,63,64,1,8,64,naive,2.7526583671569824,104.955078125,1.0728836059570312e-06,ok,0.7801489911070865
flex,float32,high,8192,63,64,1,8,64,naive,0.26870086789131165,104.955078125,0.003377079963684082,ok,7.992097922320995
flex,float16,n/a,8192,63,64,1,8,64,naive,0.11426953971385956,112.955078125,0.001017153263092041,ok,18.793141666427275
flex,float32,highest,8192,127,128,1,8,64,naive,2.589110851287842,105.01953125,1.4901161193847656e-06,ok,1.6588580183284363
flex,float32,high,8192,127,128,1,8,64,naive,0.2656794786453247,105.01953125,0.0024527907371520996,ok,16.16597306611577
flex,float16,n/a,8192,127,128,1,8,64,naive,0.11827528476715088,113.01953125,0.0007737874984741211,ok,36.313311817050554
